Week,Visitors
10/19/14,3
10/26/14,2
11/2/14,2
11/9/14,2
11/16/14,1
11/23/14,2
11/30/14,1
12/7/14,1
12/14/14,2
12/21/14,2
12/28/14,3
1/4/15,2
1/11/15,2
1/18/15,2
1/25/15,2
2/1/15,2
2/8/15,2
2/15/15,2
2/22/15,2
3/1/15,3
3/8/15,4
3/15/15,5
3/22/15,4
3/29/15,5
4/5/15,5
4/12/15,6
4/19/15,6
4/26/15,6
5/3/15,7
5/10/15,7
5/17/15,8
5/24/15,10
5/31/15,9
6/7/15,11
6/14/15,10
6/21/15,13
6/28/15,14
7/5/15,13
7/12/15,13
7/19/15,15
7/26/15,14
8/2/15,13
8/9/15,11
8/16/15,11
8/23/15,8
8/30/15,7
9/6/15,9
9/13/15,7
9/20/15,6
9/27/15,5
10/4/15,5
10/11/15,6
10/18/15,5
10/25/15,4
11/1/15,4
11/8/15,4
11/15/15,4
11/22/15,5
11/29/15,3
12/6/15,4
12/13/15,4
12/20/15,5
12/27/15,8
1/3/16,6
1/10/16,5
1/17/16,6
1/24/16,5
1/31/16,6
2/7/16,6
2/14/16,9
2/21/16,9
2/28/16,9
3/6/16,12
3/13/16,14
3/20/16,14
3/27/16,14
4/3/16,13
4/10/16,14
4/17/16,19
4/24/16,17
5/1/16,15
5/8/16,16
5/15/16,17
5/22/16,23
5/29/16,28
6/5/16,23
6/12/16,27
6/19/16,29
6/26/16,29
7/3/16,32
7/10/16,30
7/17/16,36
7/24/16,32
7/31/16,29
8/7/16,26
8/14/16,24
8/21/16,24
8/28/16,21
9/4/16,24
9/11/16,17
9/18/16,17
9/25/16,15
10/2/16,15
10/9/16,15
10/16/16,14
10/23/16,12
10/30/16,11
11/6/16,12
11/13/16,11
11/20/16,11
11/27/16,8
12/4/16,7
12/11/16,6
12/18/16,7
12/25/16,11
1/1/17,10
1/8/17,8
1/15/17,9
1/22/17,9
1/29/17,12
2/5/17,12
2/12/17,16
2/19/17,21
2/26/17,14
3/5/17,17
3/12/17,20
3/19/17,24
3/26/17,23
4/2/17,24
4/9/17,34
4/16/17,27
4/23/17,26
4/30/17,25
5/7/17,27
5/14/17,36
5/21/17,34
5/28/17,45
6/4/17,40
6/11/17,46
6/18/17,49
6/25/17,52
7/2/17,63
7/9/17,51
7/16/17,60
7/23/17,50
7/30/17,49
8/6/17,45
8/13/17,40
8/20/17,37
8/27/17,31
9/3/17,32
9/10/17,26
9/17/17,27
9/24/17,25
10/1/17,24
10/8/17,25
10/15/17,23
10/22/17,19
10/29/17,15
11/5/17,16
11/12/17,15
11/19/17,20
11/26/17,14
12/3/17,14
12/10/17,12
12/17/17,17
12/24/17,20
12/31/17,18
1/7/18,16
1/14/18,19
1/21/18,19
1/28/18,20
2/4/18,18
2/11/18,22
2/18/18,26
2/25/18,24
3/4/18,25
3/11/18,31
3/18/18,30
3/25/18,37
4/1/18,36
4/8/18,33
4/15/18,31
4/22/18,39
4/29/18,41
5/6/18,41
5/13/18,41
5/20/18,46
5/27/18,59
6/3/18,53
6/10/18,59
6/17/18,60
6/24/18,64
7/1/18,82
7/8/18,66
7/15/18,71
7/22/18,64
7/29/18,62
8/5/18,61
8/12/18,54
8/19/18,47
8/26/18,45
9/2/18,47
9/9/18,31
9/16/18,33
9/23/18,29
9/30/18,29
10/7/18,29
10/14/18,25
10/21/18,22
10/28/18,21
11/4/18,20
11/11/18,18
11/18/18,22
11/25/18,15
12/2/18,16
12/9/18,16
12/16/18,18
12/23/18,26
12/30/18,30
1/6/19,20
1/13/19,20
1/20/19,22
1/27/19,20
2/3/19,21
2/10/19,22
2/17/19,27
2/24/19,25
3/3/19,26
3/10/19,38
3/17/19,42
3/24/19,49
3/31/19,46
4/7/19,50
4/14/19,54
4/21/19,50
4/28/19,46
5/5/19,51
5/12/19,56
5/19/19,63
5/26/19,77
6/2/19,69
6/9/19,73
6/16/19,77
6/23/19,85
6/30/19,100
7/7/19,79
7/14/19,84
7/21/19,95
7/28/19,81
8/4/19,75
8/11/19,68
8/18/19,60
8/25/19,51
9/1/19,54
9/8/19,41
9/15/19,43
9/22/19,40
9/29/19,37
10/6/19,34
10/13/19,54